gene,WT1,WT2,F71Y1,F71Y2,R61K1,R61K2,R61H1,R61H2,null1,null2
BSU18990_yobK_hypothetical_protein,153,274,216,256,94,255,90,271,113,232
BSU19000_yobL_phage_DNA_manipulating_enzyme,556,1057,904,898,333,966,372,974,401,840
BSU19010_yobM_hypothetical_protein,95,341,277,290,66,333,70,315,99,314
BSU19020_yobN_amine_oxidase,11,11,9,15,10,11,13,11,14,9
BSU19030_yobO_pre-neck_appendage_protein,113,135,127,110,94,136,89,138,117,167
BSU19040_csaA_molecular_chaperone,93,114,409,345,246,514,325,796,438,636
BSU19050_yobQ_AraC_family_transcriptional_regulator,223,279,571,599,525,707,645,1115,819,1016
BSU19060_yobR_acetyltransferase,230,337,720,833,573,1039,713,1492,924,1261
BSU19070_yobS_transcriptional_regulator,100,132,108,133,77,129,64,143,66,125
BSU19080_yobT_metal-dependent_hydrolase,185,175,127,154,102,169,107,220,164,156
BSU19090_yobU_effector_of_transcriptional_regulator,9,39,42,25,11,38,17,42,28,50
BSU19100_yobV_transcriptional_regulator,115,146,147,180,71,160,62,184,82,197
BSU19110_yobW_mother_cell-specific_membrane_sporulation_protein,0,2,3,4,5,1,2,6,2,2
BSU19120_czrA_ArsR_family_transcriptional_regulator,226,1064,1151,1084,158,1031,188,1355,239,1120
BSU19130_yocA_transposon-like_lytic_enzyme,2419,3663,2670,3077,1977,3051,1879,3493,2171,3073
BSU19140_yozB_hypothetical_protein,1794,1819,1424,1653,1386,1769,1144,1688,1451,1455
BSU19150_yocB_hypothetical_protein,65,77,74,138,43,117,49,113,64,98
BSU19160_yocC_hypothetical_protein,363,521,433,450,237,497,217,499,258,489
BSU19170_yocD_carboxypeptidase,1611,1452,1312,1321,1171,1561,1193,1745,1447,1601
BSU19180_des_fatty_acid_desaturase,1458,1108,979,999,1082,896,794,1204,1163,1053
BSU19190_desK_two-component_sensor_histidine_kinase_DesR,278,495,354,444,232,442,217,498,238,499
BSU19200_desR_two-component_response_regulator_DesK,152,170,162,177,151,174,130,223,137,153
BSU19210_yocH_cell_wall-binding_protein,5777,7964,7162,7593,5887,8167,5555,9822,7403,10931
BSU19220_yocI_ATP-dependent_nucleic_acid_helicase,514,626,627,850,348,821,440,774,531,746
BSU19230_yocJ_azoreductase,887,1581,1406,1657,619,1383,487,1263,428,809
BSU19240_yocK_general_stress_protein,121,235,216,298,155,223,131,313,124,190
BSU19250_yocL_hypothetical_protein,137,147,147,193,110,166,128,193,100,148
BSU19259_yoyB_hypothetical_protein,13,13,13,13,12,8,6,6,14,18
BSU19260_yocM_spore_coat_protein,145,247,247,280,133,259,92,288,158,279
BSU19270_yozN_hypothetical_protein,11,9,7,9,6,12,2,14,6,18
BSU19280_yocN_hypothetical_protein,5,11,8,8,3,6,4,4,8,10
BSU19290_yozO_hypothetical_protein,466,1238,1092,1299,375,1286,372,1348,449,1199
BSU19300_yozC_hypothetical_protein,552,2272,2449,2598,410,2483,419,2835,469,2066
BSU19310_dhaS_aldehyde_dehydrogenase,1629,2086,1807,1915,1300,1979,1278,2300,1739,2142
BSU19320_sqhC_squalene-hopene_cyclase,40,44,31,42,59,38,41,39,51,33
BSU19330_sodF_superoxide_dismutase,9,12,9,15,9,13,11,12,19,14
BSU19340_yocR_sodium-dependent_transporter,2545,2856,2462,2932,2455,3327,2790,3886,3522,4146
BSU19350_yocS_sodium-dependent_transporter,165,155,917,967,2235,1993,5435,5708,9836,8354
BSU19360_odhB_dihydrolipoamide_succinyltransferase,12082,18865,18494,20725,10726,19569,9798,26401,13643,21350
BSU19370_sucA_2-oxoglutarate_dehydrogenase_E1,26796,31910,29498,33976,23424,34406,22201,39830,29721,36657
BSU19380_yojO_activator_of_nitric_oxide_reductase,2588,3534,3036,3588,2029,3283,1876,3379,1902,2582
BSU19390_yojN_nitric-oxide_reductase,1363,2207,1747,1976,1023,2175,950,1845,894,1572
BSU19400_sodC_superoxide_dismutase_(exported_lipoprotein),30,39,25,34,22,33,30,43,34,56
BSU19410_cwlS_peptidoglycan_hydrolase,321,442,331,404,264,443,270,539,367,544
BSU19420_yojK_glycosyltransferase,268,500,352,417,173,433,213,406,217,352
BSU19430_yojJ_hypothetical_protein,5,5,7,7,6,13,7,6,2,11
BSU19440_yojI_multidrug_efflux_protein,1306,1374,1067,1353,1184,1390,977,1232,1115,1154
BSU19450_rsbRC_piezosome_protein,840,1028,1055,1201,663,1262,621,1162,718,1077
BSU19460_yojG_deacetylase,1189,1661,2266,2359,1284,2137,1411,2534,1484,1871
BSU19470_yojF_hypothetical_protein,597,945,1135,1222,651,1253,652,1382,628,1058
BSU19479_yoyC_hypothetical_protein,583,1644,1828,2017,534,1872,589,1958,599,1645
BSU19480_yojE_hypothetical_protein,463,347,494,497,822,611,798,676,871,529
BSU19490_gerT_spore_coat_protein,3,6,4,3,9,3,3,8,2,8
BSU19510_yojB_hypothetical_protein,5,0,0,1,2,2,2,0,5,1
BSU19520_yojA_H+/anion_permease,19,18,19,25,34,30,26,22,34,13
BSU19530_yodA_tautomerase,73,73,124,139,109,165,99,163,119,148
BSU19540_yodB_transcriptional_repressor,215,284,383,317,156,327,207,400,236,322
BSU19550_yodC_oxidoreductase,3472,3776,3631,3667,2797,3817,2632,3809,2884,3068
BSU19560_yodD_hydrolase,40,62,60,64,32,88,48,84,57,87
BSU19570_yodE_lyase/dioxygenase,51,86,103,115,72,89,63,130,71,115
BSU19579_yoyD_hypothetical_protein,320,555,2947,3135,1786,4635,2395,6566,2678,5305
BSU19580_yodF_Na+/metabolite_permease,1383,880,4261,4785,9798,6860,12063,9935,13351,8265
BSU19590_ctpA_carboxy-terminal_processing_protease,3861,7222,6088,7105,2542,5945,2590,6720,2836,5767
BSU19600_yodH_S-adenosylmethionine-dependent_methyltransferase,26,34,29,26,31,29,18,20,24,20
BSU19610_yodI_hypothetical_protein,6,10,9,12,11,8,8,5,3,5
BSU19620_yodJ_D-alanyl-D-alanine_carboxypeptidase,1435,1671,1616,2006,953,1519,736,1369,750,1003
BSU19630_deoD_purine_nucleoside_phosphorylase,2314,3615,3036,3626,1429,3057,1273,2794,1372,2176
BSU19639_yoyE_hypothetical_protein,1,1,0,1,2,1,0,0,0,3
BSU19640_yodL_hypothetical_protein,163,193,198,183,109,174,116,241,137,177
BSU19650_yodM_phospholipid_phosphatase,236,193,149,184,159,223,157,203,159,157
BSU19660_yozD_hypothetical_protein,4,27,18,28,3,24,7,21,3,23
BSU19669_yoyF_hypothetical_protein,1,2,3,5,1,11,1,3,4,6
BSU19670_yodN_hypothetical_protein,48,88,51,64,22,59,27,61,27,48
BSU19680_yozE_hypothetical_protein,285,208,181,169,146,162,227,228,285,179
BSU19689_yokU_hypothetical_protein,1,1,6,1,0,0,3,3,2,2
"BSU19690_kamA_lysine_2,3-aminomutase",8,15,8,8,16,10,13,6,14,11
BSU19700_yodP_acetyltransferase,6,2,6,10,9,3,5,1,5,2
BSU19710_yodQ_acetylornithine_deacetylase,13,7,4,5,9,12,3,10,8,10
BSU19720_yodR_acyloate-acetoacetate_CoA-transferase,6,3,4,4,7,1,4,0,0,3
BSU19730_yodS_aminoacyloate_CoA-transferase,5,1,1,3,0,5,3,5,1,1
BSU19740_yodT_hypothetical_protein,2,5,6,0,2,2,0,2,1,1
BSU19749_yoyG_hypothetical_protein,2,1,2,2,3,0,2,1,0,1
BSU19750_cgeE_spore_coat_maturation_protein,38,60,63,54,31,72,30,61,50,56
BSU19760_cgeD_spore_coat_maturation_protein,3,3,7,12,7,10,2,19,8,9
BSU19770_cgeC_spore_coat_maturation_protein,11,2,3,7,2,1,0,3,1,3
BSU19780_cgeA_spore_outermost_layer_component,14,3,4,4,9,2,3,3,3,6
BSU19790_cgeB_spore_coat_maturation_protein,42,11,16,18,14,7,18,17,26,17
BSU19800_phy_phytase,25,38,33,36,20,23,22,39,18,37
BSU19820_yotN_hypothetical_protein,1,1,0,1,5,2,3,4,1,0
BSU19830_yotM_hypothetical_protein,3,4,4,6,4,6,5,9,5,8
BSU19840_yotL_hypothetical_protein,39,137,86,131,28,147,27,145,30,156
BSU19850_yotK_hypothetical_protein,3,7,5,4,0,7,4,9,2,10
BSU19860_yotJ_hypothetical_protein,1,8,2,9,2,15,5,13,0,8
BSU19870_yotI_hypothetical_protein,3,20,8,22,6,30,12,10,5,13
BSU19880_yotH_hypothetical_protein,2,6,6,9,3,9,2,6,7,1
BSU19890_yotG_hypothetical_protein,7,19,10,31,13,24,18,25,18,15
BSU19900_yotF_hypothetical_protein,1,22,8,7,3,12,0,12,3,6
BSU19910_yotE_hypothetical_protein,6,4,9,8,3,16,6,6,4,11
BSU19920_yotD_hypothetical_protein,7,22,10,31,7,24,8,27,7,15
BSU19930_yotC_hypothetical_protein,6,16,8,33,10,26,13,20,11,7
BSU19940_yotB_metallo-dependent_hydrolase,45,56,39,81,44,84,48,72,31,35
BSU19950_sspC_small_acid-soluble_spore_protein,6,2,4,5,2,6,7,6,2,2
BSU19970_yosX_hypothetical_protein,16,20,20,30,17,44,17,25,9,19
BSU19980_yosW_hypothetical_protein,12,8,9,9,8,12,7,8,3,6
BSU19990_yosV_hypothetical_protein,6,24,22,50,10,55,11,34,8,10
BSU19999_yojW_hypothetical_protein,6,13,10,16,8,17,11,21,3,7
BSU20000_yosU_hypothetical_protein,70,229,257,271,50,252,52,379,63,328
BSU20010_yosT_hypothetical_protein,54,252,233,197,55,296,83,260,58,235
BSU20020_yosS_SPbeta_phage_deoxyuridine_5'-triphosphate_nucleotidohydrolase,14,66,79,63,60,122,44,100,43,66
BSU20030_yosR_thiol_disulfide_oxidoreductase,5,8,17,14,3,13,11,21,6,15
BSU20040_nrdF_ribonucleotide-diphosphate_reductase_subunit_beta,760,1152,969,1113,649,1236,703,1198,640,917
BSU20050_yosQ_SPbeta_phage_endodeoxyribonuclease,25,77,60,63,23,95,43,95,29,51
BSU20060_nrdEB_SPbeta_phage_ribonucleoside-diphosphate_reductase_subunit_alpha,139,276,248,486,272,531,313,344,226,205
BSU20070_nrdI_ribonucleotide_reductase_stimulatory_protein,5,10,4,7,6,12,8,4,6,5
BSU20080_yosL_hypothetical_protein,8,9,5,14,5,5,16,9,5,5
BSU20090_yosK_hypothetical_protein,11,16,6,17,12,26,12,16,17,4
BSU20100_yosJ_hypothetical_protein,10,23,17,43,20,44,13,19,6,11
BSU20110_yosI_hypothetical_protein,5,21,5,26,7,46,8,24,3,18
BSU20120_yosH_hypothetical_protein,21,36,46,67,42,78,41,42,32,19
BSU20130_yosG_cell_wall_hydrolase,17,50,38,76,22,78,36,77,20,31
BSU20140_yosF_hypothetical_protein,3,27,14,35,7,56,7,28,9,10
BSU20150_yosE_hypothetical_protein,14,22,30,48,31,68,17,33,18,21
BSU20160_yosD_hypothetical_protein,10,20,18,39,14,40,13,26,6,26
BSU20170_yosC_hypothetical_protein,24,40,39,93,24,84,31,42,9,34
BSU20180_yosB_hypothetical_protein,11,18,35,77,20,60,19,42,9,18
BSU20190_yosA_hypothetical_protein,17,10,17,6,10,13,4,15,15,3
BSU20200_yorZ_hypothetical_protein,15,14,30,51,20,36,28,33,14,23
BSU20210_yorY_hypothetical_protein,2,3,1,2,2,9,1,1,0,0
BSU20220_yorX_hypothetical_protein,3,9,8,23,8,26,11,19,6,6
BSU20230_yorW_hypothetical_protein,4,11,6,8,5,10,3,9,6,3
BSU20240_yorV_nucleic_acid_binding_protein,1,7,3,16,3,10,6,5,1,7
BSU20250_mtbP_DNA_(cytosine-5-)-methyltransferase,25,30,42,79,37,68,44,68,26,47
BSU20260_yorT_hypothetical_protein,0,2,3,6,3,8,2,6,2,4
BSU20270_yorS_hypothetical_protein,11,30,16,31,11,92,9,23,9,14
BSU20280_yorR_nucleotide_kinase,8,23,14,27,13,28,18,20,9,18
BSU20290_yorQ_hypothetical_protein,3,13,13,13,9,17,7,21,3,15
BSU20300_yorP_hypothetical_protein,5,9,13,14,7,12,10,7,3,10
BSU20310_yorO_hypothetical_protein,10,21,14,34,12,28,11,18,7,10
BSU20320_yorN_hypothetical_protein,12,24,17,69,16,75,13,24,2,27
BSU20330_yorM_hypothetical_protein,9,32,25,54,17,34,32,39,19,25
BSU20340_yorL_DNA_polymerase,250,520,408,782,357,984,390,614,252,394
BSU20350_yorK_ssDNA-binding_protein,95,237,201,362,141,410,138,262,101,165
BSU20360_yorJ_hypothetical_protein,34,51,37,73,28,76,45,54,30,48
BSU20370_yorI_replicative_DNA_helicase,127,268,129,440,123,438,131,243,89,143
BSU20380_yorH_hypothetical_protein,40,69,70,130,60,169,47,91,30,48
BSU20390_yorG_hypothetical_protein,99,208,188,340,153,392,216,246,125,138
BSU20400_yorF_hypothetical_protein,81,201,143,355,71,331,84,227,71,161
BSU20410_yorE_hypothetical_protein,14,16,25,35,9,48,16,51,15,34
BSU20420_yorD_hypothetical_protein,1096,3248,2850,3124,727,3309,725,3372,809,3051
BSU20430_yorC_hypothetical_protein,62,123,122,175,32,179,54,153,42,155
BSU20440_yorB_hypothetical_protein,130,292,319,436,156,362,177,505,180,403
BSU20450_yorA_capsid_protein,100,219,146,329,113,261,125,183,100,145
BSU20460_yoqZ_hypothetical_protein,47,126,90,187,91,137,102,132,83,89
BSU20470_yoqY_hypothetical_protein,4,20,11,8,10,17,12,16,10,9
BSU20480_yoqX_SPbeta_phage_protein,1,4,6,7,1,10,2,14,2,7
BSU20490_yoqW_hypothetical_protein,185,268,229,241,276,288,298,305,305,253
BSU20500_ligB_ATP-dependent_DNA_ligase,21,68,78,74,42,85,40,67,36,74
BSU20510_yoqU_hypothetical_protein,29,27,30,72,30,46,32,39,24,18
BSU20520_yoqT_hypothetical_protein,0,0,1,3,1,3,1,1,1,2
BSU20530_yoqS_hypothetical_protein,11,51,32,56,18,93,42,56,8,33
BSU20540_yoqR_hypothetical_protein,10,25,12,19,6,32,8,20,9,16
BSU20550_yoqP_hypothetical_protein,15,23,16,45,11,64,17,23,16,16
BSU20560_yoqO_hypothetical_protein,844,617,616,632,570,697,669,772,835,758
BSU20570_yoqN_hypothetical_protein,2,8,4,13,3,8,4,14,1,1
BSU20580_yoqM_membrane_bound_protein,34,114,75,73,24,67,18,88,27,65
BSU20590_yoqL_endonuclease,48,89,59,162,29,97,46,95,30,60
BSU20600_yoqK_hypothetical_protein,12,20,18,40,10,35,4,31,7,17
BSU20610_yoqJ_hypothetical_protein,24,40,30,65,29,51,36,32,19,34
BSU20620_yoqI_hypothetical_protein,18,75,27,102,23,86,23,57,16,25
BSU20630_yoqH_hypothetical_protein,67,72,67,121,111,150,101,82,71,47
BSU20640_yoqG_hypothetical_protein,17,80,61,116,24,161,41,101,35,72
BSU20650_yoqF_hypothetical_protein,30,62,62,127,45,152,65,97,25,38
BSU20660_yoqE_hypothetical_protein,15,49,40,70,20,115,30,56,17,28
BSU20670_yoqD_DNA-binding_protein_anti-repressor,60,185,151,266,57,424,108,209,67,126
BSU20680_yoqC_nucleotide-binding_protein,31,42,31,91,20,59,27,63,18,28
BSU20690_yoqB_hypothetical_protein,8,34,12,47,6,25,13,22,9,26
BSU20700_yoqA_hypothetical_protein,28,33,23,82,23,65,33,39,13,29
BSU20710_yopZ_hypothetical_protein,17,29,20,44,25,30,20,20,10,13
BSU20720_yopY_hypothetical_protein,19,32,19,77,15,51,23,26,13,26
BSU20730_yopX_hypothetical_protein,46,35,36,139,51,94,72,37,30,43
BSU20740_yopW_hypothetical_protein,47,73,71,158,54,179,74,95,34,60
BSU20750_yopV_hypothetical_protein,16,9,17,24,6,22,13,30,13,21
BSU20760_yopU_hypothetical_protein,45,114,126,153,42,168,61,148,59,114
BSU20770_yopT_hypothetical_protein,75,226,257,294,76,346,94,359,89,271
BSU20780_yopS_transcriptional_regulator,321,213,236,184,220,211,258,239,325,191
BSU20790_yopR_integrase,591,1605,1150,1368,416,1550,549,1803,550,1531
BSU20800_yopQ_hypothetical_protein,946,2001,1338,1997,551,1983,735,2063,785,1944
BSU20810_yopP_phage_integrase,263,744,616,752,195,787,279,948,309,824
BSU20820_yopO_transcriptional_regulator,65,165,157,187,67,190,95,213,80,211
BSU20830_yopN_hypothetical_protein,78,280,280,317,59,319,86,407,120,380
BSU20840_yopM_hypothetical_protein,58,304,329,297,49,345,70,488,85,356
BSU20850_yopL_hypothetical_protein,302,1201,1537,1432,202,1755,275,2117,400,1710
BSU20860_yopK_hypothetical_protein,272,905,702,965,263,1093,349,996,267,792
BSU20870_yopJ_nucleotide_binding_protein,146,221,187,199,108,190,108,251,99,272
BSU20880_yopI_hypothetical_protein,101,334,203,284,78,284,60,284,79,341
BSU20890_yopH_hypothetical_protein,79,224,124,186,69,225,37,181,61,236
BSU20900_yopG_hypothetical_protein,28,88,48,85,16,67,20,81,24,59
BSU20910_yopF_hypothetical_protein,57,56,61,85,35,63,33,87,38,75
BSU20920_yopE_hypothetical_protein,50,77,38,75,38,67,29,70,42,87
BSU20928_yoyH_hypothetical_protein,257,422,414,445,159,516,167,539,223,472
BSU20929_yoyI_hypothetical_protein,53,89,76,109,68,95,51,97,65,117
BSU20930_yopD_hypothetical_protein,257,294,223,275,179,246,167,277,217,264
BSU20940_yopC_hypothetical_protein,594,1589,1065,1472,451,1580,417,1475,480,1629
BSU20950_yopB_transcriptional_regulator,24,33,24,21,9,48,12,33,18,35
BSU20960_yopA_methyltransferase,687,1913,1339,2097,481,2106,464,1707,495,1684
BSU20970_yonX_hypothetical_protein,136,293,176,419,109,383,127,190,65,100
BSU20980_yonV_hypothetical_protein,34,86,54,83,27,76,27,86,26,47
BSU20990_yonU_hypothetical_protein,121,413,507,569,112,558,124,632,164,440
BSU20999_yoyJ_hypothetical_protein,198,254,181,222,176,221,173,236,173,199
BSU21000_yonT_hypothetical_protein,22,62,57,59,33,70,15,92,37,48
BSU21010_yonS_glycosyl_hydrolase_lipoprotein,113,241,244,214,91,263,75,252,86,238
BSU21020_yonR_XRE_family_transcriptional_regulator,53,130,93,147,33,116,33,148,25,100
BSU21030_yonP_hypothetical_protein,0,9,2,8,2,11,3,8,1,9
BSU21040_yonO_hypothetical_protein,53,113,70,172,85,249,105,130,65,81
BSU21050_yonN_HU-related_DNA-binding_protein,11,78,82,81,55,128,63,118,39,71
BSU21060_yonK_hypothetical_protein,2,6,3,4,2,3,2,2,5,6
BSU21070_yonJ_hypothetical_protein,17,11,25,11,8,12,11,37,32,47
BSU21080_yonI_hypothetical_protein,104,363,255,292,78,368,64,286,94,266
BSU21090_yonH_capsid_protein,4,8,6,13,8,20,11,33,11,46
BSU21100_yonG_hypothetical_protein,1,6,13,8,8,13,5,11,6,20
BSU21110_yonF_prophage_terminase_ATP_subunit,8,7,15,14,25,18,16,34,16,14
BSU21120_yonE_hypothetical_protein,28,44,37,37,31,44,25,68,34,60
BSU21130_yonD_hypothetical_protein,27,102,61,106,39,88,47,217,102,257
BSU21140_yonC_hypothetical_protein,9,24,28,25,15,27,21,59,39,37
BSU21150_yonB_hypothetical_protein,18,17,25,43,21,43,48,87,64,114
BSU21160_yonA_hypothetical_protein,9,24,24,15,11,26,18,43,23,46
BSU21170_yomZ_hypothetical_protein,5,9,4,3,4,8,3,19,9,27
BSU21180_yomY_hypothetical_protein,3,0,5,2,3,2,2,19,6,20
BSU21190_yomX_hypothetical_protein,3,5,5,12,4,7,17,41,33,44
BSU21200_yomW_hypothetical_protein,12,19,13,13,6,9,7,29,30,38
BSU21210_yomV_hypothetical_protein,11,24,21,20,14,38,11,58,15,61
BSU21220_yomU_hypothetical_protein,8,29,27,21,17,13,21,44,42,65
BSU21229_youA_hypothetical_protein,9,8,10,8,12,10,16,25,35,26
BSU21230_yomT_hypothetical_protein,6,5,3,1,4,7,4,8,10,8
BSU21240_yomS_lytic_exoenzyme,1,6,3,4,2,4,4,8,2,12
BSU21250_yomR_hypothetical_protein,10,15,18,14,14,22,14,34,18,45
BSU21260_yomQ_hypothetical_protein,2,9,0,3,6,5,1,8,3,9
BSU21270_yomP_hypothetical_protein,3,4,3,10,3,3,4,9,3,10
BSU21280_yomO_hypothetical_protein,12,15,10,12,5,7,8,16,7,24
BSU21290_yomN_hypothetical_protein,8,8,9,7,7,5,3,11,10,11
BSU21300_yomM_integrase,6,4,5,15,8,16,12,20,14,15
BSU21310_yozP_hypothetical_protein,11,28,24,33,10,21,10,25,9,23
BSU21320_yomL_hypothetical_protein,170,327,445,662,205,612,207,580,223,463
BSU21329_youB_hypothetical_protein,48,89,110,154,54,138,56,117,49,103
BSU21330_yomK_hypothetical_protein,2,5,3,3,1,11,6,11,1,7
BSU21340_yomJ_phage_immunity_protein,293,551,505,596,248,560,283,841,369,747
BSU21350_yomI_lytic_transglycosylase,157,284,201,247,115,263,131,319,151,313
BSU21360_yomH_hypothetical_protein,7,16,6,8,6,10,6,16,5,25
BSU21370_yomG_hypothetical_protein,92,110,121,156,74,181,75,173,103,119
BSU21380_yomF_hypothetical_protein,7,5,6,6,10,10,7,11,4,13
BSU21390_yomE_glycosyl_hydrolase,6,19,12,9,8,17,8,19,20,18
BSU21400_yomD_hypothetical_protein,4,3,0,5,1,2,4,7,4,14
BSU21410_blyA_bacteriophage_SPbeta_N-acetylmuramoyl-L-alanine_amidase,0,3,5,1,3,3,2,8,8,12
BSU21420_bhlA_bacteriophage_SPbeta_holin-like_protein,1,1,1,2,1,0,2,4,1,3
BSU21430_bhlB_holin-like_bacteriophage_SPbeta_protein,4,18,7,6,1,9,3,14,2,12
BSU21440_bdbB_bacteriophage_SPbeta_thiol-disulfide_oxidoreductase,2002,2929,2516,2742,1408,2903,753,2262,694,1366
BSU21450_yolJ_glycosyltransferase,5286,19280,13420,14797,3987,17960,2086,11736,1509,8825
BSU21460_bdbA_bacteriophage_SPbeta_thiol-disulfide_oxidoreductase,1460,5367,3538,4189,1014,5126,531,3094,340,2390
BSU21470_sunT_sublancin_168_lantibiotic_transporter,9091,24384,18214,20584,5984,24057,3319,15482,2369,10674
BSU21480_sunA_sublancin_168_lantibiotic_antimicrobial_precursor_peptide_in_SPBeta_prophage,15198,16173,20927,18001,8824,19147,6889,16278,5705,9124
BSU21490_sunI_protein_of_immunity_to_sublancin,1998,7696,6361,6693,1259,8500,1576,7814,1809,8259
BSU21500_uvrX_lesion_bypass_phage_DNA_polymerase,59,58,84,116,49,81,59,136,59,82
BSU21510_yolD_hypothetical_protein,11,16,6,12,8,16,8,12,18,14
BSU21520_yolC_SPbeta_phage_protein,33,85,49,69,18,59,20,70,29,78
BSU21530_yolB_hypothetical_protein,153,285,234,244,95,320,90,293,95,246
BSU21540_yolA_hypothetical_protein,586,1623,1257,1308,340,1478,358,1612,350,1384
BSU21550_yokL_acetyl-transferase,370,941,706,836,240,803,237,775,246,917
BSU21560_yokK_hypothetical_protein,442,958,736,910,295,925,279,954,337,855
BSU21570_yokJ_hypothetical_protein,329,633,540,707,252,603,223,654,252,619
BSU21580_yokI_DNA_wielding_protein,834,1432,1261,1520,507,1291,520,1488,551,1387
BSU21590_yokH_hypothetical_protein,460,1094,865,1003,322,1181,280,1220,365,1233
BSU21600_yokG_hypothetical_protein,1175,2953,2289,2495,803,3117,800,3052,986,3462
BSU21610_yokF_SPbeta_phage_DNA_nuclease,2692,6690,5156,5328,1924,5103,1308,4979,1179,3511
BSU21620_yokE_hypothetical_protein,759,1444,1107,1144,461,1279,357,1018,310,761
BSU21630_yokD_aminoglycoside_N3-acetyltransferase,307,584,407,552,199,549,135,534,199,513
BSU21640_yokC_hypothetical_protein,104,241,215,260,62,248,69,246,88,251
BSU21650_yokB_hypothetical_protein,196,412,323,418,107,365,104,480,152,477
BSU21660_yokA_DNA_recombinase,686,1397,1115,1444,484,1446,525,1429,485,1319
BSU21680_yppQ_methionine_sulfoxide_reductase_B,337,343,302,355,171,253,215,386,203,279
BSU21690_msrA_methionine_sulfoxide_reductase_A,463,439,286,431,253,400,312,392,318,287
BSU21700_ypoP_MarR_family_transcriptional_regulator,984,1605,1426,1471,573,1425,675,1646,700,1250
"BSU21710_dinF_damage_inducible,_Na+_driven_multidrug_efflux_pump",315,385,328,380,330,461,280,363,286,313
BSU21720_ypmT_hypothetical_protein,200,144,177,188,215,171,239,251,307,185
BSU21730_ypmS_hypothetical_protein,907,1977,1826,2131,888,2194,855,2640,1111,2513
BSU21740_ypmR_lipase/acylhydrolase,1690,3770,3222,3747,1580,3858,1570,4299,1950,4188
BSU21750_scuA_assembly_factor_BSco_of_the_Cu(A)_site_of_cytochrome_c_oxidase,361,594,677,921,449,950,540,1471,769,1191
BSU21760_ypmP_hypothetical_protein,1130,3336,5028,4773,1283,5672,1930,8806,2796,6465
BSU21770_ilvA_threonine_dehydratase,2354,4305,10557,12433,6254,15732,8529,21538,11772,23593
BSU21780_yplP_transcriptional_enhancer,874,967,1036,1325,876,1196,967,1268,897,943
BSU21790_yplQ_membrane_hydrolase,482,270,323,393,495,357,509,438,556,380
BSU21800_ypkP_acyltransferase,1480,1344,1188,1244,1038,1242,1041,1464,1190,1109
BSU21810_dfrA_dihydrofolate_reductase,936,1075,772,830,684,910,611,897,697,802
BSU21820_thyA_thymidylate_synthase,1605,2118,1580,1917,1150,1841,1056,1933,1269,1571
BSU21830_ypjQ_phosphatidylglycerophosphatase,1579,2542,2013,2177,1225,2257,1376,2418,1535,2257
BSU21840_ypjP_hypothetical_protein,2676,5366,4813,4500,2164,4796,2181,5524,2697,5330
BSU21850_ypiP_methyltransferase,938,1019,862,997,673,978,653,1044,663,847
BSU21860_yphP_hypothetical_protein,2722,5381,4711,4851,1929,4585,2095,4566,2384,3683
BSU21870_ilvD_dihydroxy-acid_dehydratase,2101,2022,13819,14934,20009,24558,27854,38503,32896,33110
BSU21880_ypgR_lyase,2335,2403,2513,2827,1834,2718,2018,2966,2363,2737
BSU21890_ypgQ_metal-dependent_phosphohydrolase,298,466,430,493,233,442,254,562,359,495
BSU21900_bsaA_peroxidase,264,395,389,545,182,562,226,642,264,536
BSU21910_metA_homoserine_O-succinyltransferase,1885,3990,3086,3748,1544,4248,1612,4057,2013,4370
BSU21920_ugtP_diacylglycerol_glucosyltransferase,7926,13173,11340,12648,6882,13443,6842,13735,7994,13561
BSU21930_cspD_cold-shock_protein,8181,10652,13071,12479,7398,13820,7100,15342,9905,12383
"BSU21940_degR_activation_of_degradative_enzymes_(aprE,_nprE,_sacB)_production_or_activity",19,11,8,7,5,18,16,17,11,7
BSU21950_ypzA_hypothetical_protein,31,41,49,35,32,25,32,41,53,33
BSU21960_ypeQ_hypothetical_protein,38,65,65,107,29,79,41,85,42,68
BSU21970_ypeP_hypothetical_protein,316,431,314,416,252,412,320,455,289,410
BSU21980_ypdP_hypothetical_protein,408,288,250,279,312,291,339,334,454,321
BSU21990_ypdQ_hypothetical_protein,258,441,406,390,213,397,241,587,269,479
BSU22000_sspL_small_acid-soluble_spore_protein,26,24,25,34,33,24,32,42,36,27
BSU22010_exoA_5'-3'_exonuclease,1525,2996,3074,3200,1226,3432,1408,3469,1475,3106
BSU22019_ypzF_hypothetical_protein,172,81,142,117,185,126,161,188,293,81
BSU22020_ypbS_hypothetical_protein,1099,3389,3542,3326,845,3493,1091,4979,1460,4275
BSU22030_ypbR_GTP-binding_protein,1146,1515,1575,1978,1003,1719,1052,2339,1300,2129
BSU22040_ypbQ_hypothetical_protein,41,50,32,34,27,37,15,40,30,26
BSU22050_bcsA_terpene_family_molecule_synthase,109,133,78,135,81,114,48,91,47,54
BSU22060_pbuX_xanthine_permease,12132,9438,7024,7794,8054,7452,6614,6729,7105,5987
BSU22070_xpt_xanthine_phosphoribosyltransferase,6030,9845,7216,7802,3724,7062,3151,7098,3367,5634
BSU22080_ypwA_metal-dependent_carboxypeptidase,3262,4608,3625,4683,2302,4186,2409,4434,2538,3884
